id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
31,Angie,Miller,angie.miller.31@gslingacademy.com,0,0,0,False,14,Software Engineer,0.7999999999999999,0.3800000000000001,0.74,1.0,0.8285714285714285,0.7142857142857142,0.30000000000000004
32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,0,0,4,False,30,Designer,0.5000000000000001,0.3600000000000001,0.8400000000000001,0.48,0.7428571428571429,0.7142857142857142,0.30000000000000004
33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,1,0,4,False,30,Accountant,0.6166666666666666,0.9199999999999999,0.96,0.78,0.7857142857142856,0.2448979591836733,0.050000000000000044
34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,0,0,1,False,24,Banker,0.9833333333333333,0.6799999999999999,0.6799999999999999,0.56,0.6857142857142857,0.5510204081632653,0.20000000000000018
35,Lisa,Burns,lisa.burns.35@gslingacademy.com,0,0,3,True,31,Unknown,0.8333333333333334,0.8600000000000001,0.8200000000000001,0.6000000000000001,0.7999999999999998,0.3877551020408161,0.050000000000000044
36,Kelly,Farley,kelly.farley.36@gslingacademy.com,0,0,1,False,21,Unknown,0.41666666666666663,0.40000000000000013,0.56,0.96,0.7142857142857142,0.3265306122448979,0.125
37,Ryan,Lee,ryan.lee.37@gslingacademy.com,1,0,2,True,19,Construction Engineer,0.9833333333333333,0.8800000000000001,0.74,0.41999999999999993,0.8428571428571427,0.8367346938775508,0.9000000000000004
38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,1,0,1,False,29,Construction Engineer,0.8666666666666666,1.0,0.7,0.78,0.7285714285714284,0.8367346938775508,0.7000000000000002
39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,1,0,4,False,21,Banker,0.6166666666666666,0.28,0.28,0.76,0.9142857142857141,0.6530612244897958,0.4500000000000002
40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,1,0,4,False,18,Accountant,0.8666666666666666,0.19999999999999996,0.32000000000000006,0.74,0.42857142857142855,0.6734693877551019,0.875
41,Emily,Holloway,emily.holloway.41@gslingacademy.com,0,0,4,False,31,Software Engineer,0.7500000000000001,0.94,0.28,0.8,0.7,0.6326530612244896,0.5249999999999999
42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,1,1,7,False,4,Business Owner,0.41666666666666663,0.10000000000000009,0.32000000000000006,0.0,0.8285714285714285,0.12244897959183665,0.6499999999999999
43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,0,1,6,False,3,Business Owner,0.8833333333333334,0.8800000000000001,0.8400000000000001,0.54,0.8142857142857143,0.9795918367346936,0.07500000000000018
44,Pamela,Cole,pamela.cole.44@gslingacademy.com,0,0,4,False,3,Game Developer,0.9500000000000001,0.98,0.7,0.9199999999999999,0.8714285714285714,0.36734693877551017,0.15000000000000013
45,David,Gillespie,david.gillespie.45@gslingacademy.com,1,1,4,False,3,Business Owner,0.2333333333333334,0.98,0.5800000000000001,0.14000000000000012,0.32857142857142857,0.9183673469387754,0.5750000000000002
46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,1,1,5,True,5,Business Owner,0.7999999999999999,0.06000000000000005,0.0,0.15999999999999992,0.7714285714285714,0.06122448979591821,0.9000000000000004
47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,0,0,5,True,27,Lawyer,0.5166666666666667,0.7,0.8600000000000001,0.3600000000000001,1.0,0.8367346938775508,0.6750000000000003
48,Billy,Soto,billy.soto.48@gslingacademy.com,1,0,0,True,28,Stock Investor,0.6833333333333335,0.96,0.48,0.40000000000000013,0.9571428571428571,0.30612244897959173,0.125
49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,0,0,4,False,32,Unknown,0.6666666666666666,0.56,0.72,0.6000000000000001,0.4857142857142857,0.36734693877551017,1.0
50,Sonia,Noble,sonia.noble.50@gslingacademy.com,0,0,0,False,14,Accountant,1.0,0.78,0.8,0.8600000000000001,0.0,0.6734693877551019,0.3500000000000001
51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,1,0,6,True,16,Stock Investor,0.6,0.43999999999999995,0.9199999999999999,0.30000000000000004,0.8428571428571427,0.7551020408163263,0.8500000000000001
52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,0,0,2,False,24,Lawyer,0.9833333333333333,0.6200000000000001,0.45999999999999996,0.40000000000000013,0.7857142857142856,0.7346938775510203,0.025000000000000133
53,Luke,Shannon,luke.shannon.53@gslingacademy.com,1,0,9,False,0,Business Owner,0.4,0.40000000000000013,0.21999999999999997,0.6200000000000001,0.7428571428571429,0.020408163265305923,0.25
54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,0,0,3,False,32,Banker,0.8333333333333334,0.9199999999999999,0.72,0.21999999999999997,0.8428571428571427,0.9795918367346936,0.20000000000000018
55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,1,0,2,False,3,Game Developer,0.7500000000000001,1.0,0.8400000000000001,0.3600000000000001,0.42857142857142855,0.5510204081632653,0.5750000000000002
56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,0,0,6,False,31,Software Engineer,0.85,0.19999999999999996,0.6799999999999999,0.76,0.657142857142857,0.4285714285714284,0.9750000000000001
57,Melissa,Lee,melissa.lee.57@gslingacademy.com,0,0,3,False,21,Unknown,0.9166666666666666,0.43999999999999995,0.5800000000000001,0.72,0.8142857142857143,0.6326530612244896,0.050000000000000044
58,David,Vaughn,david.vaughn.58@gslingacademy.com,1,1,2,False,18,Banker,0.9,0.56,0.45999999999999996,0.94,0.5285714285714285,0.5714285714285712,0.9750000000000001
59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,1,0,7,False,26,Software Engineer,0.9,0.78,0.28,0.9199999999999999,0.8714285714285714,0.9183673469387754,0.42500000000000004
60,Casey,May,casey.may.60@gslingacademy.com,1,0,4,False,23,Software Engineer,0.8166666666666668,0.98,0.8,0.5800000000000001,0.7857142857142856,0.9387755102040816,0.9500000000000002
61,Michelle,Roman,michelle.roman.61@gslingacademy.com,0,0,2,False,1,Game Developer,0.85,0.6200000000000001,0.76,0.41999999999999993,0.6857142857142857,0.6734693877551019,0.40000000000000013
62,Brittany,Koch,brittany.koch.62@gslingacademy.com,0,0,5,False,33,Lawyer,0.7166666666666667,0.72,0.21999999999999997,0.98,0.9857142857142855,0.7755102040816324,0.3250000000000002
63,Brian,Lewis,brian.lewis.63@gslingacademy.com,1,0,7,False,2,Business Owner,0.9666666666666667,0.30000000000000004,0.06000000000000005,0.28,0.31428571428571433,0.9387755102040816,0.050000000000000044
64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,0,0,1,False,34,Banker,0.7166666666666667,0.94,0.30000000000000004,0.76,0.5285714285714285,0.9183673469387754,0.2250000000000001
65,Eric,Reyes,eric.reyes.65@gslingacademy.com,1,0,2,False,18,Construction Engineer,0.85,0.45999999999999996,0.98,0.40000000000000013,0.4714285714285715,0.6122448979591835,0.4500000000000002
66,Kristy,Weber,kristy.weber.66@gslingacademy.com,0,1,6,False,2,Business Owner,0.8333333333333334,0.08000000000000007,0.54,0.48,0.657142857142857,0.9387755102040816,0.7000000000000002
67,Anthony,Smith,anthony.smith.67@gslingacademy.com,1,0,3,False,27,Software Engineer,0.8666666666666666,0.72,0.32000000000000006,0.3800000000000001,1.0,0.4285714285714284,0.5
68,Steven,Stephens,steven.stephens.68@gslingacademy.com,1,0,2,False,8,Real Estate Developer,0.4,0.28,0.45999999999999996,0.52,0.5999999999999999,0.9591836734693875,0.7749999999999999
69,Henry,Davis,henry.davis.69@gslingacademy.com,1,0,4,False,14,Software Engineer,0.8333333333333334,0.40000000000000013,0.7,0.19999999999999996,0.7285714285714284,0.4285714285714284,0.7000000000000002
70,Raymond,Shea,raymond.shea.70@gslingacademy.com,1,0,10,True,22,Banker,0.9833333333333333,0.6200000000000001,0.9199999999999999,0.3800000000000001,0.8714285714285714,0.7551020408163263,0.5750000000000002
71,Jill,Perez,jill.perez.71@gslingacademy.com,0,0,1,False,15,Designer,0.8166666666666668,0.32000000000000006,0.8600000000000001,0.6200000000000001,0.7999999999999998,0.7755102040816324,0.25
72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,0,1,3,False,22,Writer,0.3666666666666666,0.74,0.8600000000000001,0.6600000000000001,0.8999999999999999,0.9591836734693875,0.3250000000000002
73,Louis,Edwards,louis.edwards.73@gslingacademy.com,1,1,10,False,1,Business Owner,0.35,0.40000000000000013,0.3800000000000001,0.28,0.4142857142857143,0.5714285714285712,0.5
74,Michael,Hodge,michael.hodge.74@gslingacademy.com,1,1,8,False,3,Business Owner,0.18333333333333335,0.08000000000000007,0.32000000000000006,0.74,0.9857142857142855,0.16326530612244894,0.20000000000000018
75,Anna,Li,anna.li.75@gslingacademy.com,0,0,2,False,20,Software Engineer,0.7500000000000001,1.0,0.28,0.3600000000000001,0.6142857142857143,0.6326530612244896,0.6750000000000003
76,Andrea,Case,andrea.case.76@gslingacademy.com,0,0,7,True,27,Software Engineer,0.9833333333333333,0.8,0.9199999999999999,0.8400000000000001,1.0,0.9795918367346936,0.42500000000000004
77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,0,0,3,False,24,Software Engineer,0.7833333333333333,0.26,0.19999999999999996,0.8,0.8428571428571427,0.9999999999999998,0.5
78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,0,0,1,True,5,Unknown,0.5833333333333334,0.8200000000000001,0.6000000000000001,0.8600000000000001,0.6285714285714286,0.8775510204081631,0.125
79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,0,0,7,False,34,Unknown,0.7999999999999999,0.8800000000000001,0.6000000000000001,0.26,0.5428571428571429,0.5510204081632653,0.10000000000000009
80,Shawn,Chase,shawn.chase.80@gslingacademy.com,1,0,3,False,16,Software Engineer,0.7833333333333333,0.5800000000000001,0.78,0.3600000000000001,0.8999999999999999,0.510204081632653,0.8000000000000003
81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,0,1,3,False,3,Business Owner,0.7833333333333333,0.3400000000000001,0.8800000000000001,0.8400000000000001,0.45714285714285713,0.16326530612244894,0.125
82,Lisa,Harris,lisa.harris.82@gslingacademy.com,0,0,1,False,15,Stock Investor,0.6,0.3400000000000001,0.6600000000000001,0.7,0.8714285714285714,0.22448979591836715,0.17500000000000004
83,Carol,Snyder,carol.snyder.83@gslingacademy.com,0,0,7,False,11,Government Officer,0.33333333333333337,0.6000000000000001,0.21999999999999997,0.26,0.9285714285714286,0.857142857142857,0.375
84,Charles,Butler,charles.butler.84@gslingacademy.com,1,0,7,False,32,Scientist,0.7500000000000001,0.30000000000000004,0.98,1.0,0.8285714285714285,0.8775510204081631,0.30000000000000004
85,James,Dawson,james.dawson.85@gslingacademy.com,1,0,3,False,28,Unknown,0.5499999999999999,0.3400000000000001,0.40000000000000013,0.41999999999999993,0.49999999999999994,0.46938775510204067,0.6750000000000003
86,Dennis,Kim,dennis.kim.86@gslingacademy.com,1,0,1,False,24,Software Engineer,0.7500000000000001,0.41999999999999993,0.3800000000000001,0.6000000000000001,0.5714285714285714,0.5510204081632653,0.15000000000000013
87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,0,0,2,False,9,Government Officer,0.85,0.52,0.41999999999999993,0.43999999999999995,0.8857142857142857,0.346938775510204,0.75
88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,0,0,3,True,14,Software Engineer,0.9833333333333333,0.9000000000000001,0.6600000000000001,0.78,0.7285714285714284,0.26530612244897944,0.25
89,Robert,Atkins,robert.atkins.89@gslingacademy.com,1,0,3,False,16,Stock Investor,0.8833333333333334,0.9199999999999999,0.3600000000000001,0.74,0.5571428571428572,0.7959183673469385,1.0
90,William,Brown,william.brown.90@gslingacademy.com,1,0,3,False,29,Software Engineer,0.8166666666666668,0.5,0.19999999999999996,0.6000000000000001,0.45714285714285713,0.7142857142857142,0.3250000000000002
91,Patrick,Parker,patrick.parker.91@gslingacademy.com,1,0,0,False,14,Accountant,0.9166666666666666,0.56,0.9000000000000001,0.45999999999999996,0.02857142857142858,0.30612244897959173,0.20000000000000018
92,James,Santiago,james.santiago.92@gslingacademy.com,1,0,4,False,10,Government Officer,0.4666666666666667,0.6400000000000001,0.9000000000000001,0.26,0.45714285714285713,0.9795918367346936,0.8250000000000002
93,Robert,Parsons,robert.parsons.93@gslingacademy.com,1,0,5,False,31,Software Engineer,0.9666666666666667,0.45999999999999996,0.45999999999999996,0.54,0.8142857142857143,0.9795918367346936,0.5750000000000002
94,Jacob,Brown,jacob.brown.94@gslingacademy.com,1,0,4,False,34,Stock Investor,0.65,0.8400000000000001,0.5800000000000001,0.52,0.7714285714285714,0.346938775510204,0.6499999999999999
95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,0,0,5,False,3,Unknown,0.6333333333333334,0.5800000000000001,0.45999999999999996,0.9199999999999999,0.4857142857142857,0.8775510204081631,0.625
96,Victoria,Jones,victoria.jones.96@gslingacademy.com,0,0,2,True,34,Software Engineer,1.0,0.96,0.78,0.7,0.7285714285714284,0.2857142857142856,0.8500000000000001
97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,0,0,3,True,2,Artist,0.7666666666666667,0.52,0.6799999999999999,0.8600000000000001,0.657142857142857,0.3877551020408161,0.7749999999999999
98,Thomas,White,thomas.white.98@gslingacademy.com,1,0,3,False,4,Real Estate Developer,0.7833333333333333,0.78,0.8600000000000001,0.96,0.7,0.4489795918367345,0.7000000000000002
99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,1,1,0,False,28,Lawyer,1.0,0.8600000000000001,0.7,0.21999999999999997,0.9428571428571428,0.6734693877551019,0.6499999999999999
100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,0,0,0,False,5,Game Developer,0.7500000000000001,0.78,0.8800000000000001,0.3800000000000001,0.9857142857142855,0.8775510204081631,0.9500000000000002
101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,0,0,2,False,4,Artist,0.7833333333333333,0.45999999999999996,0.96,0.8200000000000001,0.7,0.204081632653061,0.42500000000000004
102,Abigail,Perez,abigail.perez.102@gslingacademy.com,0,0,2,False,25,Software Engineer,0.9333333333333335,0.6000000000000001,1.0,0.21999999999999997,0.7285714285714284,0.9795918367346936,0.125
103,James,Yang,james.yang.103@gslingacademy.com,1,0,5,False,29,Writer,0.6,0.74,0.28,0.48,0.6142857142857143,0.8163265306122447,0.9750000000000001
104,Stephen,Patton,stephen.patton.104@gslingacademy.com,1,1,6,False,1,Artist,0.8333333333333334,0.6000000000000001,0.26,0.8800000000000001,0.4857142857142857,0.40816326530612224,0.4750000000000001
105,Emma,Wright,emma.wright.105@gslingacademy.com,0,0,7,False,2,Business Owner,0.41666666666666663,0.19999999999999996,1.0,0.8200000000000001,0.8142857142857143,0.5714285714285712,0.9750000000000001
106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,0,0,2,False,0,Real Estate Developer,0.9666666666666667,0.94,0.24,0.78,0.45714285714285713,0.9183673469387754,0.42500000000000004
107,Erin,Kelley,erin.kelley.107@gslingacademy.com,0,0,3,False,16,Accountant,0.85,0.6000000000000001,0.94,0.78,0.9142857142857141,0.9183673469387754,0.6000000000000001
108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,1,0,3,True,31,Scientist,0.7666666666666667,0.6200000000000001,0.6600000000000001,0.6200000000000001,0.7285714285714284,0.5510204081632653,0.6499999999999999
109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,0,0,1,False,4,Unknown,0.85,0.8600000000000001,0.43999999999999995,0.21999999999999997,0.4428571428571429,0.7551020408163263,0.875
110,Phillip,Allen,phillip.allen.110@gslingacademy.com,1,0,5,True,13,Accountant,0.6333333333333334,0.3800000000000001,0.6400000000000001,0.19999999999999996,0.4857142857142857,0.5510204081632653,0.5500000000000003
111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,1,0,4,False,24,Stock Investor,0.6,0.78,0.78,0.6600000000000001,0.8428571428571427,0.8163265306122447,0.10000000000000009
112,Erin,Jones,erin.jones.112@gslingacademy.com,0,1,9,False,2,Business Owner,0.7000000000000001,0.08000000000000007,0.7,0.14000000000000012,0.28571428571428575,0.08163265306122436,0.40000000000000013
113,Charles,Hayes,charles.hayes.113@gslingacademy.com,1,1,2,True,4,Business Owner,0.08333333333333337,0.7,0.8800000000000001,0.52,0.38571428571428573,0.8775510204081631,0.6499999999999999
114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,0,0,1,False,22,Banker,0.8666666666666666,0.5,0.30000000000000004,0.94,0.4428571428571429,0.5306122448979591,0.5249999999999999
115,Robert,Turner,robert.turner.115@gslingacademy.com,1,0,6,True,0,Business Owner,0.050000000000000044,0.30000000000000004,0.8200000000000001,0.5,0.4857142857142857,0.8979591836734693,1.0
116,Robert,Hill,robert.hill.116@gslingacademy.com,1,0,2,False,24,Unknown,0.9333333333333335,0.32000000000000006,0.3800000000000001,0.30000000000000004,0.5999999999999999,0.693877551020408,0.42500000000000004
117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,0,0,6,False,1,Business Owner,0.6333333333333334,0.41999999999999993,0.0,0.10000000000000009,0.3428571428571428,0.9591836734693875,0.875
118,Beth,Bell,beth.bell.118@gslingacademy.com,0,0,1,False,19,Unknown,0.4666666666666667,0.9199999999999999,0.28,0.40000000000000013,0.6285714285714286,0.26530612244897944,0.375
119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,1,0,1,True,19,Software Engineer,0.8833333333333334,0.45999999999999996,0.8800000000000001,0.30000000000000004,0.42857142857142855,0.26530612244897944,0.8250000000000002
120,Crystal,Walker,crystal.walker.120@gslingacademy.com,0,0,6,False,5,Business Owner,0.25,0.8600000000000001,0.3400000000000001,0.48,0.35714285714285715,0.204081632653061,0.10000000000000009
121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,0,1,0,False,13,Teacher,0.43333333333333346,0.8,0.6600000000000001,0.6000000000000001,0.657142857142857,0.8163265306122447,0.7749999999999999
122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,1,0,4,False,26,Doctor,0.9666666666666667,0.8400000000000001,0.8200000000000001,0.98,0.9571428571428571,0.7755102040816324,0.375
123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,1,0,4,False,41,Doctor,0.9,0.8800000000000001,0.8800000000000001,0.78,0.7857142857142856,0.7346938775510203,0.625
124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,0,0,3,False,47,Doctor,0.9333333333333335,1.0,0.9199999999999999,0.8200000000000001,0.8714285714285714,0.9387755102040816,0.7250000000000001
125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,0,0,2,False,9,Unknown,0.4833333333333333,0.24,0.6400000000000001,0.78,0.7285714285714284,0.4489795918367345,0.27500000000000013
126,Lisa,Ware,lisa.ware.126@gslingacademy.com,0,0,4,False,7,Unknown,0.6166666666666666,0.9000000000000001,0.96,0.3800000000000001,0.42857142857142855,0.7959183673469385,0.27500000000000013
127,Brian,Lee,brian.lee.127@gslingacademy.com,1,0,1,False,3,Game Developer,0.8166666666666668,0.3400000000000001,0.72,0.74,0.8142857142857143,0.36734693877551017,0.4500000000000002
128,Mario,Taylor,mario.taylor.128@gslingacademy.com,1,0,4,True,14,Accountant,0.9333333333333335,0.3400000000000001,0.6000000000000001,0.6600000000000001,0.7999999999999998,0.5510204081632653,0.375
129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,0,0,4,False,26,Unknown,0.7000000000000001,0.40000000000000013,0.6000000000000001,0.40000000000000013,0.9428571428571428,0.3877551020408161,0.6499999999999999
130,Michael,Miller,michael.miller.130@gslingacademy.com,1,0,6,True,27,Unknown,0.9833333333333333,0.94,0.28,0.8,0.8142857142857143,0.36734693877551017,0.2250000000000001
131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,0,1,5,False,25,Stock Investor,0.9333333333333335,0.45999999999999996,0.8,0.7,0.4714285714285715,0.693877551020408,0.6750000000000003
132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,0,1,4,False,16,Banker,0.9166666666666666,0.6400000000000001,0.32000000000000006,0.26,0.5285714285714285,0.857142857142857,0.2250000000000001
133,Tina,Perkins,tina.perkins.133@gslingacademy.com,0,0,4,False,27,Software Engineer,0.8333333333333334,0.26,0.3800000000000001,0.6000000000000001,0.9857142857142855,0.3877551020408161,0.4750000000000001
134,Cory,Perez,cory.perez.134@gslingacademy.com,1,1,6,False,0,Business Owner,0.7999999999999999,0.040000000000000036,0.06000000000000005,0.1200000000000001,0.7857142857142856,0.8775510204081631,0.4500000000000002
135,Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,1,0,1,False,3,Designer,0.7833333333333333,0.24,0.74,0.9199999999999999,0.7857142857142856,0.8163265306122447,0.3500000000000001
136,Joanne,Campos,joanne.campos.136@gslingacademy.com,0,0,2,False,6,Designer,0.3666666666666666,0.6600000000000001,0.6799999999999999,0.5,0.7571428571428571,0.7142857142857142,0.6499999999999999
137,David,Patel,david.patel.137@gslingacademy.com,1,0,2,False,12,Banker,0.7500000000000001,0.30000000000000004,0.19999999999999996,0.56,0.7285714285714284,0.9387755102040816,0.40000000000000013
138,Michelle,Hill,michelle.hill.138@gslingacademy.com,0,0,1,True,11,Banker,0.65,0.94,0.52,0.3400000000000001,0.4428571428571429,0.8163265306122447,0.875
